id,name,source,prescription_required,retail_price,discounted_price,manufacturer,quantity,packaging_form,salts
source_2-39585,dolo cold 500mg30mg10mg tablet,source_2,True,35.0,28.7,micro labs,,,paracetamolacetaminophen 500mgcaffeine 30mgphen
source_6-75727,dolo cold adult nasal drops,source_6,True,40.83,35.93,micro labs,10ml nasal drop in bottle,bottle,xylometazoline
source_6-75728,dolo cold pead nasal drops,source_6,False,41.0,34.85,micro labs,10ml nasal drop in bottle,bottle,xylometazoline
source_6-75729,dolo cold strip of 10 tablets,source_6,True,35.44,31.19,micro labs,10 tablets in strip,strip,caffeine300mg phenylephrine100mg chlorpheniramine chlorphenamine20mg paracetamol acetaminophen5000mg
source_6-75730,dolo cold syrup 50 ml,source_6,True,33.6,29.57,micro labs,1ml syrup in bottle,bottle,unknown
source_6-75731,dolo cold syrup 60ml,source_6,True,53.55,47.12,micro labs,60ml suspension in bottle,bottle,chlorpheniramine paracetamol pseudoephedrine
source_7-90348,dolo drops,source_7,False,30.07,22.5,micro labs,150 ml in 1 packet,,paracetamol 100m000mgl
source_6-75733,dolo g tablets,source_6,True,30.91,27.2,integra life sciences pvt,10 tablets in strip,strip,dicyclomine mefenamic acid
source_6-75734,dolo infusion 100ml,source_6,True,75.03,66.03,micro labs,100ml infusion in bottle,bottle,paracetamol acetaminophen10 g
source_1-65085,dolo infusion 100 ml,source_1,True,331.0,291.3,micro labs,100,bottle infusion,paracetamol1000mg
source_1-65086,dolo ivg 1 infusion 100 ml,source_1,True,401.0,352.9,micro labs,100,bottle infusion,paracetamol1000mg
source_6-75735,dolo k 50 mg strip of 10 tablets,source_6,True,7.5,6.6,bosch pharmaceuticals pvt,10 tablets in strip,strip,diclofenac500mg
source_6-75736,dolo m tablets,source_6,True,38.1,33.53,integra life sciences pvt,10 tablets in strip,strip,drotaverine mefenamic acid
source_6-75737,dolo mf bottle of 60ml suspension,source_6,True,57.51,50.61,micro labs,60ml suspension in bottle,bottle,mefenamic acid1000mg5ml paracetamol acetaminophen2500mg5ml
source_6-75738,dolo mf junior bottle of 60ml suspension,source_6,True,52.0,44.2,micro labs,60ml suspension in bottle,bottle,paracetamol acetaminophen1250mg5ml mefenamic acid500mg5ml
source_7-90349,dolomf junior oral suspension,source_7,True,56.5,50.85,micro labs,600 ml in 1 bottle,,mefenamic acid 50mg5ml paracetamol 125mg5ml
source_1-65087,dolomf junior oral suspension 60 ml,source_1,True,56.5,49.8,micro labs,60,bottle suspension,mefenamic acid50mg paracetamol125mg
source_2-39587,dolomf oral suspension,source_2,True,49.0,40.18,micro labs,,,mefenamic acid 100mgparacetamolacetaminophen 250
source_1-65088,dolomf susp 60ml,source_1,True,63.0,55.4,micro labs,60,bottle suspension,mefenamic acid100mg paracetamol250mg
source_6-75739,dolo micro labs forte 500 mg tablet 10,source_6,False,14.95,14.95,micro labs,10 tablets in strip,strip,paracetamol acetaminophen5000mg
source_1-65089,dolo oral drops 15 ml,source_1,False,30.0,26.4,micro labs,15,bottle oral drops,paracetamol100mg
source_6-75740,dolo pain relief bottle of 35gm spray,source_6,False,83.5,73.48,micro labs,35g spray in bottle,bottle,diclofenac116 menthol50 methyl salicylate100 linseed oil30
source_2-39588,dolo pain relief spray,source_2,False,143.65,136.47,micro labs,,,unknown
source_1-65090,dolo pain relief spray 35 gm,source_1,False,91.0,80.1,micro labs,35,bottle spray,unknown
source_1-65091,dolo pain relief spray 55 gm,source_1,False,143.5,126.3,micro labs,55,bottle spray,diclofenac116wv linseed oil3wv menthol5wv methyl salicylate10wv
source_6-75741,dolo plus tablet,source_6,True,10.0,8.8,mankind pharmaceuticals,10 tablets in strip,strip,diclofenac500mg paracetamol acetaminophen5000mg
source_6-75742,dolo relieve tablet,source_6,True,18.0,15.84,medico health care,10 tablets in strip,strip,diclofenac500mg paracetamol acetaminophen5000mg
source_2-39589,dolo soft mr 100mg2mg tablet,source_2,True,47.0,38.54,gujarat liqui pharmacaps pvt,,,nimesulide 100mgtizanidine 2mg
source_2-39590,dolo sp 500mg tablet,source_2,True,68.75,56.38,bioguard organics,,,paracetamolacetaminophen 500mg
source_6-75743,dolo suspension 60ml,source_6,False,51.0,44.37,micro labs,60ml suspension in bottle,bottle,paracetamol acetaminophen15625mg5ml
source_1-65092,dolo suspension 60 ml,source_1,False,56.0,49.3,micro labs,60,bottle suspension,paracetamol125mg
source_7-90352,dolot tablet,source_7,True,59.63,52.05,micro labs,,,tramadol 375mg paracetamol 325mg
source_1-65093,dolot tablet 10s,source_1,True,123.0,108.2,micro labs,10,strip tablet,paracetamol325mg tramadol375mg
source_7-90353,dolo th 4 tablet,source_7,True,189.7,157.5,micro labs,100 tablets in 1 strip,,paracetamol 500mg thiocolchicoside 4mg
source_1-65094,dolo th 4 tablet 10s,source_1,True,189.5,166.8,micro labs,10,strip tablet,paracetamol500mg thiocolchicoside4mg
source_1-65095,dolo xtraa tablet 15s,source_1,False,47.0,41.4,micro labs,15,strip tablet,caffeine50mg paracetamol650mg
source_2-39591,doloact 25mg injection,source_2,True,6.66,5.46,ochoa laboratories,,,diclofenac 25mg
source_6-75744,doloact 25mg injection 3ml,source_6,True,6.66,5.86,ochoa laboratiories,3ml injection,injection,diclofenac250mg
source_2-39592,doloact 50mg tablet dt,source_2,True,11.26,9.23,ochoa laboratories,,,diclofenac 50mg
source_6-75745,doloact dt tablet,source_6,True,11.26,11.26,ochoa laboratiories,10 tablets in strip,strip,diclofenac500mg
source_6-75746,doloact gel 30gm,source_6,False,51.0,44.88,ochoa laboratiories,30g gel in tube,tube,diclofenac116
source_6-75747,doloact mouth paint,source_6,True,55.0,48.4,bmw pharmaco india pvt,10ml mouth paint in bottle,bottle,beclomethasone clotrimazole
source_2-39593,doloact mr 250mg465mg500mg tablet,source_2,True,40.96,33.59,ochoa laboratories,,,chlorzoxazone 250mgdiclofenac 465mgparacetamol
source_7-90355,doloact mr 250mg465mg500mg tablet dt,source_7,True,40.96,39.7,ochoa laboratories,100 tablet dt in 1 strip,,chlorzoxazone 250mg diclofenac 465mg paracetamol 500mg
source_6-75748,doloact mr dt strip of 10 tablets,source_6,True,40.0,35.2,ochoa laboratiories,10 tablets in strip,strip,chlorzoxazone diclofenac sodium paracetamol
source_7-90356,doloact plus 50mg500mg tablet,source_7,True,17.1,16.6,ochoa laboratories,100 tablets in 1 strip,,diclofenac 50mg paracetamol 500mg
source_6-75749,doloact plus dt strip of 10 tablets,source_6,True,16.0,14.08,ochoa laboratiories,10 tablets in strip,strip,diclofenac sodium paracetamol
source_6-75750,doloact plus gel 30gm,source_6,True,14.0,12.32,ochoa laboratiories,30g gel in tube,tube,diclofenac linseed oil menthol methyl salicylate
source_7-90357,doloage 20mg injection,source_7,True,59.63,52.05,allenge india,,,piroxicam 20mg
source_7-90358,doloage 20mg tablet,source_7,True,32.0,31.0,allenge india,100 tablets in 1 strip,,piroxicam 20mg
source_6-75751,doloage 20mg tablets,source_6,True,28.0,24.64,allenge india pharmaceuticals pvt,10 tablets in strip,strip,piroxicam200mg
source_6-75752,doloage injection,source_6,True,168.0,147.84,allenge india pharmaceuticals pvt,2ml injection,injection,piroxicam400mg
source_7-90359,doloage p 325mg20mg tablet,source_7,True,68.0,65.9,allenge india,100 tablets in 1 strip,,paracetamol 325mg piroxicam 20mg
source_1-65096,doloarmr tablet 10s,source_1,True,95.0,83.6,unibiotech health care pvt,10,strip tablet,aceclofenac100mg chlorzoxazone250mg paracetamol325mg
source_1-65097,doloar sp tab 10s,source_1,True,110.0,96.8,unibiotech health care pvt,10,strip tablet,aceclofenac100mg paracetamol325mg serratiopeptidase15mg
source_7-90360,dolobak 100mg450mg tablet,source_7,True,123.0,119.0,micro labs,100 tablets in 1 strip,,paracetamol 100mg chlormezanone 450mg
source_2-39597,dolobak 450 mg100 mg tablet,source_2,True,56.0,45.92,micro labs,,,paracetamolacetaminophen 450mgchlormezanone 100m
source_6-75753,dolobak strip of 10 tablets,source_6,True,123.75,108.9,micro labs,10 tablets in strip,strip,tramadol375mg paracetamol acetaminophen3250mg
source_7-90361,dolobak tablet,source_7,True,59.63,52.05,micro labs,,,tramadol 375mg paracetamol 325mg
source_1-65098,dolobak tablet 10s,source_1,True,135.0,118.8,micro labs,10,strip tablet,paracetamol325mg tramadol375mg
source_7-90362,doloban 100mg tablet sr,source_7,True,38.1,36.9,mankind pharma,100 tablet sr in 1 strip,,diclofenac 100mg
source_7-90363,doloban 25mg injection,source_7,True,10.5,10.2,mankind pharma,30 ml in 1 ampoule,,diclofenac 25mg
source_6-75754,doloban aqua 75mg ampoule of 1ml injection,source_6,True,423.0,372.24,mankind pharmaceuticals,1ml injection in ampoule,ampoule,diclofenac750mg
source_2-39598,doloban aqua 75mg injection,source_2,True,22.0,18.04,mankind pharma,,,diclofenac 75mg
source_1-65099,doloban aqua injection 1ml,source_1,True,22.0,19.36,mankind pharma pvt,1,vial injection,diclofenac75mg
source_6-75755,doloban injection 3ml,source_6,True,4.57,4.02,mankind pharmaceuticals,3ml injection in ampoule,ampoule,diclofenac250mg
source_6-75756,doloban injection 30ml,source_6,True,31.42,27.65,mankind pharmaceuticals,30ml injection in vial,vial,diclofenac250mg
source_6-75757,dolobanmr 502 mg tablet mr 10,source_6,True,9.9,8.71,mankind pharmaceuticals,10 tablets in strip,strip,tizanidine20mg diclofenac500mg
source_6-75758,doloban plus vet bolus,source_6,True,28.0,24.64,mankind pharmaceuticals,,strip,chlorzoxazone nimesulide paracetamol
source_6-75759,doloban plus vet injection,source_6,True,93.0,81.84,mankind pharmaceuticals,30ml injection in ampoule,ampoule,nimesulide paracetamol
source_6-75760,doloban plus vet injection 90ml,source_6,True,275.0,242.0,mankind pharmaceuticals,90ml injection in ampoule,ampoule,nimesulide paracetamol
source_7-90366,dolobans tablet,source_7,True,62.0,60.1,mankind pharma,100 tablets in 1 strip,,diclofenac 50mg serratiopeptidase 15mg
source_6-75761,doloban sr 100mg strip of 10 tablets,source_6,True,38.1,33.53,mankind pharmaceuticals,10 tablets in strip,strip,diclofenac1000mg
source_6-75762,doloban strip of 10 tablets,source_6,True,40.0,35.2,mankind pharmaceuticals,10 tablets in strip,strip,chlorzoxazone diclofenac paracetamol
source_2-39599,dolobest 100mg tablet,source_2,True,71.42,58.56,ttk healthcare,,,aceclofenac 100mg
source_2-39600,dolobest 200mg tablet sr,source_2,True,26.63,21.84,ttk healthcare,,,aceclofenac 200mg
source_2-39601,dolobest mr 100mg500mg250mg tablet,source_2,True,130.0,106.6,ttk healthcare,,,aceclofenac 100mgparacetamolacetaminophen 500mg
source_6-75763,dolobest mr strip of 10 tablets,source_6,True,130.0,114.4,ttk healthcare,10 tablets in strip,strip,aceclofenac1000mg chlorzoxazone2500mg paracetamol acetaminophen5000mg
source_1-65101,dolobest mr tablet,source_1,True,130.0,114.4,ttk healthcare,10,strip tablet,aceclofenac100mg chlorzoxazone250mg paracetamol500mg
source_2-39602,dolobest od 200mg tablet,source_2,True,45.7,37.47,ttk healthcare,,,aceclofenac 200mg
source_6-75764,dolobest od strip of 10 tablets,source_6,True,45.7,40.22,ttk healthcare,10 tablets in strip,strip,aceclofenac2000mg
source_7-90371,dolobest p 100 mg500 mg tablet,source_7,True,40.4,39.2,ttk healthcare,100 tablets in 1 strip,,aceclofenac 100mg paracetamol 500mg
source_6-75765,dolobest p strip of 10 tablets,source_6,True,29.0,25.52,ttk healthcare,10 tablets in strip,strip,aceclofenac1000mg paracetamol acetaminophen5000mg
source_1-65102,dolobest p tablet 10s,source_1,True,40.4,35.552,ttk healthcare,10,strip tablet,aceclofenac100mg paracetamol500mg
source_7-90372,dolobest sp 100mg500mg15mg tablet,source_7,True,73.5,71.3,ttk healthcare,100 tablets in 1 strip,,aceclofenac 100mg paracetamol 500mg serratiopeptidase 15mg
source_6-75766,dolobest sp strip of 10 tablets,source_6,True,57.8,50.86,ttk healthcare,10 tablets in strip,strip,aceclofenac paracetamol serratiopeptidase
source_6-75767,dolobest sr 200 mg tablet 10,source_6,True,26.63,23.43,ttk healthcare,10 tablets in strip,strip,aceclofenac2000mg
source_6-75768,dolobest strip of 10 tablets,source_6,True,19.9,17.51,ttk healthcare,10 tablets in strip,strip,aceclofenac1000mg
source_1-65103,dolobid 50mg15mg tablet,source_1,True,70.0,61.6,apotex life sciences,10,strip tablet,diclofenac50mg serratiopeptidase15mg
source_6-75769,dolobid m oint 30gm,source_6,True,87.19,76.73,apotex pharmachem india pvt,30g ointment in tube,tube,diclofenac menthol methyl salicylate
source_2-39605,dolobrake capsule,source_2,True,60.5,49.61,mankind pharma,,,diclofenac 100mgrabeprazole 20mg
source_1-65104,dolobrake mr 500mg50mg325mg tablet,source_1,True,85.0,74.8,mankind pharma,10,strip tablet,chlorzoxazone500mg diclofenac50mg paracetamol325mg
source_7-90375,dolobrake sp 50mg325mg15mg tablet,source_7,True,90.2,86.0,mankind pharma,100 tablets in 1 strip,,diclofenac 50mg paracetamol 325mg serratiopeptidase 15mg
source_7-90376,doloby plus 100mg500mg tablet,source_7,True,59.63,52.05,boyeger biotech pvt,,,aceclofenac 100mg paracetamol 500mg
source_7-90377,dolocaf extra tablet,source_7,False,40.0,38.8,hnf care pvt,100 tablets in 1 strip,,caffeine 50mg paracetamol 650mg
source_7-90379,dolocaine cream,source_7,False,196.0,184.0,cadila pharmaceuticals,50 gm in 1 tube,,prilocaine 25mg000mg lidocaine 25mg000mg
source_6-75771,dolocaine cream 15gm,source_6,False,319.56,281.21,zydus healthcare,15g cream in tube,tube,prilocaine25 lidocaine lignocaine25
source_1-65107,dolocaine cream 30 gm,source_1,False,835.0,734.8,zydus cadila healthcare,30,tube cream,lidocaine25mg prilocaine25mg
source_6-75772,dolocaine cream 30gm,source_6,False,708.5,708.5,cadila pharmaceuticals,30g cream in tube,tube,prilocaine25 lidocaine lignocaine25
source_1-65108,dolocaine cream 5gm,source_1,True,127.0,111.8,cadila healthcare,5,tube cream,lidocaine25ww prilocaine25ww
source_7-90380,dolocalm 75mg injection,source_7,True,14.0,13.6,sanes pharmaceuticals,10 ml in 1 vial,,diclofenac 75mg
source_7-90381,dolocalm forte 50mg500mg tablet,source_7,True,30.0,29.1,sanes pharmaceuticals,100 tablets in 1 strip,,diclofenac 50mg paracetamol 500mg
source_6-75774,dolocalm forte tablets,source_6,True,30.0,26.4,sresan pharmaceuticals,10 tablets in strip,strip,diclofenac sodium paracetamol
source_6-75775,dolocalm gel,source_6,False,90.0,79.2,sresan pharmaceuticals,30g gel in tube,tube,diclofenac linseed oil menthol methyl salicylate
source_6-75776,dolocalm injection,source_6,True,50.88,44.77,sresan pharmaceuticals,1ml injection,injection,diclofenac sodium
source_7-90383,dolocam 20mg tablet,source_7,True,50.88,49.3,cipla,100 tablets in 1 strip,,piroxicam 20mg
source_6-75777,dolocam 20 mg tablet 10,source_6,True,50.88,44.77,cipla,10 tablets in strip,strip,piroxicam200mg
source_7-90384,dolocam 20mg tablet dt,source_7,True,68.8,66.7,bhavishya pharmaceuticals pvt,250 tablet dt in 1 strip,,piroxicam 20mg
source_6-75778,dolocam dt 20mg tablet,source_6,True,33.0,29.04,cipla,10 tablets in strip,strip,piroxicam200mg
source_6-75779,dolocare 100 mg tablet,source_6,True,50.0,44.0,alkem laboratories,10 tablets in strip,strip,unknown
source_1-65111,dolocare 1000mg tablet,source_1,True,50.0,44.0,eurocare,10,strip tablet,paracetamol1000mg
source_6-75780,dolocare 20mg tablets,source_6,True,7.0,6.16,vensat bio,10 tablets in strip,strip,piroxicam200mg
source_6-75781,dolocare 500 mg tablet,source_6,False,39.0,39.0,alkem laboratories,10 tablets in strip,strip,paracetamol acetaminophen5000mg
source_2-39609,dolocare 500mg tablet,source_2,True,49.31,40.43,alkem laboratories,,,paracetamolacetaminophen 500mg
source_6-75782,dolocare injection 2ml,source_6,True,13.0,11.44,vensat bio,2ml injection,injection,piroxicam
source_6-75783,dolocef 250mg strip of 10 tablets,source_6,True,410.0,360.8,dolphin laboratories,10 tablets in strip,strip,cefradine2500mg
source_6-75784,dolocef 500 mg tablet 10,source_6,True,410.0,360.8,dolphin healthcare pvt,10 tablets in strip,strip,cefuroxime5000mg
source_1-65112,dolocel plus tablet,source_1,True,80.0,70.4,cian health care pvt,10,strip tablet,diclofenac50mg paracetamol325mg serratiopeptidase10mg
source_1-65113,dolocel sp 50mg10mg tablet,source_1,True,95.2,83.776,cian health care pvt,10,strip tablet,diclofenac50mg serratiopeptidase10mg
source_1-65114,dolocem 20mg tablet dt,source_1,True,70.0,61.6,netprime pharma pvt,10,strip tablet,piroxicam20mg
source_1-65115,dolocerin tablet 10s,source_1,False,85.0,74.8,zydus cadila,10,strip tablet,unknown
source_2-39610,dolocet 325 mg375 mg tablet,source_2,True,46.23,37.91,micro labs,,,paracetamolacetaminophen 325mgtramadol 375mg
source_6-75785,dolocet 400mg tablets,source_6,True,45.0,39.6,micro labs,10 tablets in strip,strip,paracetamol tramadol
source_7-90389,dolocet p 100mg325mg tablet,source_7,True,37.52,32.76,caplet india pvt,100 tablets in 1 strip,,aceclofenac 100mg paracetamol 325mg
source_1-65116,dolocetp tablet 10s,source_1,True,37.5,33.0,caplet india pvt,10,strip tablet,aceclofenac100mg paracetamol325mg
source_6-75786,dolochek 100mg strip of 10 tablets,source_6,True,22.12,19.69,indoco remedies,10 tablets in strip,strip,aceclofenac1000mg
source_2-39611,dolochek 100mg tablet,source_2,True,22.12,18.14,indoco remedies,,,aceclofenac 100mg
source_2-39612,dolochek 200mg tablet sr,source_2,True,31.99,26.23,indoco remedies,,,aceclofenac 200mg
source_7-90392,dolochek p 100mg500mg tablet,source_7,True,37.0,32.31,indoco remedies,100 tablets in 1 strip,,aceclofenac 100mg paracetamol 500mg
source_6-75787,dolochek p strip of 10 tablets,source_6,True,76.0,66.88,indoco remedies,10 tablets in strip,strip,aceclofenac1000mg paracetamol acetaminophen5000mg
source_6-75788,dolochek sr 200mg strip of 10 tablets,source_6,True,267.3,235.22,indoco remedies,10 tablets in strip,strip,aceclofenac2000mg
source_2-39614,dolocide k 50mg tablet,source_2,True,15.1,12.38,kee pharma,,,diclofenac 50mg
source_6-75789,dolocide k plus strip of 10 tablets,source_6,True,59.63,52.05,kee pharma,10 tablets in strip,strip,diclofenac potassium
source_6-75790,dolocide k strip of 10 tablets,source_6,True,13.5,11.88,kee pharma,10 tablets in strip,strip,diclofenac500mg
source_6-75791,dolocide kp strip of 10 tablets,source_6,True,19.8,17.42,kee pharma,10 tablets in strip,strip,diclofenac paracetamol
source_2-39615,dolocide kp tablet,source_2,True,19.8,16.24,kee pharma,,,diclofenac 50mgparacetamolacetaminophen 650mg
source_1-65119,dolocide mr 250mg tablet,source_1,True,128.0,112.6,kee pharma,10,strip tablet,chlorzoxazone250mg diclofenac50mg paracetamol325mg
source_6-75792,dolocide mr strip of 10 tablets,source_6,True,98.44,86.63,kee pharma,10 tablets in strip,strip,chlorzoxazone2000mg diclofenac500mg paracetamol acetaminophen3250mg
source_2-39616,dolocide mr tablet,source_2,True,97.0,79.54,kee pharma,,,chlorzoxazone 250mgdiclofenac 50mgparacetamolac
source_2-39617,dolocide plus 116 gel,source_2,True,66.0,54.12,kee pharma,,,diclofenac 116
source_6-75793,dolocide plus gel 30gm,source_6,False,66.0,58.08,kee pharma,30g gel in tube,tube,diclofenac10 linseed oil30 menthol50 methyl salicylate100
source_2-39618,dolocide plus tablet,source_2,True,18.86,15.47,kee pharma,,,chlorzoxazone 250mgdiclofenac 50mgparacetamolac
source_2-39619,dolocip 20mg tablet dt,source_2,True,30.0,24.6,cipla,,,piroxicam 20mg
source_6-75794,dolocip dt 20mg tablet,source_6,True,34.5,30.36,cipla,10 tablets in strip,strip,piroxicam200mg
source_6-75795,doloco gel 30gm,source_6,False,90.0,90.0,aero chem neutron pvt,30g gel in tube,tube,diclofenac116 menthol50 methyl salicylate100 linseed oil30
source_6-75796,doloco tablets,source_6,True,49.0,43.12,veritaz healthcare,10 tablets in strip,strip,chlorzoxazone diclofenac sodium paracetamol
source_1-65120,dolocold adult nasal spray,source_1,False,57.0,50.2,micro labs,1,bottle nasal spray,xylometazoline200mg
source_2-39620,dolocold ds oral suspension,source_2,True,51.75,42.44,micro labs,,,chlorpheniramine maleate 2mgparacetamolacetamino
source_1-65121,dolocold ds suspension 60 ml,source_1,True,73.0,64.2,micro labs,60,bottle suspension,chlorpheniramine2mg paracetamol250mg phenylephrine5mg
source_6-75797,dolocold ds syrup 60ml,source_6,True,61.45,52.23,micro labs,60ml syrup in bottle,bottle,chlorpheniramine maleate20mg phenylephrine50mg paracetamol acetaminophen2500mg
source_2-39621,dolocold junior nasal drops,source_2,True,34.53,28.31,micro labs,,,xylometazoline 005 wv
source_1-65122,dolocold junior nasal drops 10 ml,source_1,False,36.68,32.2784,micro labs,10,bottle nasal drops,xylometazoline005wv
source_2-39622,dolocold syrup,source_2,True,38.0,31.16,micro labs,,,chlorpheniramine maleate 1mgparacetamolacetamino
source_1-65124,dolocold syrup 60 ml,source_1,True,58.0,51.1,micro labs,60,bottle syrup,caffeine30mg chlorpheniramine2mg paracetamol325mg phenylephrine10mg
source_1-65125,dolocold tablet 10s,source_1,True,38.0,33.4,micro labs,10,strip tablet,caffeine30mg chlorpheniramine maleate2mg paracetamol500mg phenylephrine hydrochloride10mg
source_7-90395,dolocrat 100 mg500 mg tablet,source_7,True,33.0,32.0,syncom formulations india,100 tablets in 1 strip,,aceclofenac 100mg paracetamol 500mg
source_2-39624,dolocrat plus tablet,source_2,True,53.0,43.46,syncom formulations india,,,aceclofenac 100mgparacetamolacetaminophen 500mg
source_6-75798,dolocrat tablets,source_6,True,36.0,36.0,cratus life care pvt,10 tablets in strip,strip,aceclofenac1000mg paracetamol acetaminophen5000mg
source_7-90397,dolocuredt tablet,source_7,True,150.0,145.0,v m s pharma,150 tablet dt in 1 strip,,piroxicam 20mg
source_1-65126,dolocute gel 30 gm,source_1,False,90.0,90.0,biocute life care,30,tube gel,diclofenac1ww linseed3ww menthol1ww salicylic acid10ww
source_7-90398,dolodart 120mg5ml suspension,source_7,False,59.63,39.65,juggat pharma,600 ml in 1 bottle,,paracetamol 120mg5ml
source_1-65127,dolodart 120 suspension 60 ml,source_1,False,40.0,35.2,juggat pharma,60,bottle suspension,paracetamol120mg
source_2-39626,dolodart ds 250mg5ml suspension,source_2,True,37.2,30.5,juggat pharma,,,paracetamolacetaminophen 250mg5ml
source_6-75799,dolodart ds suspension 60ml,source_6,False,44.35,44.35,juggat pharma,60ml suspension in bottle,bottle,paracetamol acetaminophen2500mg5ml
source_1-65128,dolodart ds suspension 60 ml,source_1,False,45.0,39.6,juggat pharma,60,bottle suspension,paracetamol250mg
source_6-75800,dolodart suspension 60ml,source_6,False,36.29,36.29,juggat pharma,60ml suspension in bottle,bottle,paracetamol acetaminophen1200mg5ml
source_2-39627,dolodase injection,source_2,True,21.5,17.63,lancer health care pvt,,,diclofenac na
source_2-39628,dolodase p 50 mg10 mg tablet,source_2,True,58.0,47.56,lancer health care pvt,,,diclofenac 50mgserratiopeptidase 10mg
source_7-90402,dolodase tablet,source_7,True,44.0,42.7,lancer health care pvt,100 tablets in 1 strip,,diclofenac na
source_2-39630,dolodik 100 mg500 mg tablet,source_2,True,26.43,21.67,udik pharmaceuticals pvt,,,aceclofenac 100mgparacetamolacetaminophen 500mg
source_2-39631,dolodik s 100 mg500 mg15 mg tablet,source_2,True,50.37,41.3,udik pharmaceuticals pvt,,,aceclofenac 100mgparacetamolacetaminophen 500mg
source_6-75801,dolodil injection 2ml,source_6,True,59.63,52.05,madhav labs,2ml injection,injection,piroxicam200mg
source_2-39632,dolodol 100mg injection,source_2,True,23.0,18.86,ethix healthcare,,,tramadol 100mg
source_2-39633,dolodol 50mg capsule,source_2,True,38.5,31.57,micro labs,,,tramadol 50mg
